,State,year_month,counts,Census,counts per million
3,OH,2016-05,791.0,11799448.0,6.70370342748237
4,OH,2016-06,893.0,11799448.0,7.568150645691222
5,OH,2016-07,951.0,11799448.0,8.059699063888413
6,OH,2016-08,1183.0,11799448.0,10.025892736677173
7,OH,2016-09,1203.0,11799448.0,10.195392191227928
8,OH,2016-10,993.0,11799448.0,8.415647918444998
9,OH,2016-11,1290.0,11799448.0,10.932714818523715
10,OH,2016-12,1342.0,11799448.0,11.373413400355679
11,OH,2017-01,1525.0,11799448.0,12.92433340949509
12,OH,2017-02,1186.0,11799448.0,10.051317654859787
13,OH,2017-03,1105.0,11799448.0,9.364844863929228
14,OH,2017-04,799.0,11799448.0,6.771503209302672
15,OH,2017-05,820.0,11799448.0,6.949477636580965
16,OH,2017-06,918.0,11799448.0,7.780024963879666
17,OH,2017-07,712.0,11799448.0,6.034180582006887
18,OH,2017-08,1296.0,11799448.0,10.98356465488894
19,OH,2017-09,1470.0,11799448.0,12.458209909480512
20,OH,2017-10,1511.0,11799448.0,12.80568379130956
21,OH,2017-11,955.0,11799448.0,8.093598954798564
22,OH,2017-12,1355.0,11799448.0,11.483588045813669
23,OH,2018-01,1489.0,11799448.0,12.619234391303728
24,OH,2018-02,1263.0,11799448.0,10.703890554880195
25,OH,2018-03,1222.0,11799448.0,10.356416673051147
26,OH,2018-04,1140.0,11799448.0,9.661468909393049
27,OH,2018-05,1187.0,11799448.0,10.059792627587324
28,OH,2018-06,1317.0,11799448.0,11.161539082167234
29,OH,2018-07,1175.0,11799448.0,9.958092954856872
30,OH,2018-08,1061.0,11799448.0,8.991946063917567
31,OH,2018-09,1618.0,11799448.0,13.712505873156099
32,OH,2018-10,2459.0,11799448.0,20.83995793701536
33,OH,2018-11,2163.0,11799448.0,18.33136600966418
34,OH,2018-12,1553.0,11799448.0,13.161632645866145
35,OH,2019-01,1538.0,11799448.0,13.034508054953081
36,OH,2019-02,983.0,11799448.0,8.33089819116962
37,OH,2019-03,947.0,11799448.0,8.025799172978262
38,OH,2019-04,1061.0,11799448.0,8.991946063917567
39,OH,2019-05,942.0,11799448.0,7.983424309340572
40,OH,2019-06,771.0,11799448.0,6.534203972931615
41,OH,2019-07,941.0,11799448.0,7.974949336613035
42,OH,2019-08,1046.0,11799448.0,8.864821473004499
43,OH,2019-09,1035.0,11799448.0,8.771596773001583
44,OH,2019-10,1366.0,11799448.0,11.576812745816584
45,OH,2019-11,1305.0,11799448.0,11.05983940943678
46,OH,2019-12,1297.0,11799448.0,10.992039627616478
61,WV,2016-05,13.0,1793716.0,0.7247524134255368
