State,year_month,Severity_1,Severity_2,Severity_3,Severity_4,DayOfWeek_Friday,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,Pressure_High,Pressure_Low,Pressure_Moderate,TrafficStuckTime_High,TrafficStuckTime_Low,TrafficStuckTime_Moderate,TrafficStuckTime_VeryHigh,TrafficStuckTime_VeryLow,Temperature_High,Temperature_Low,Temperature_Moderate,Temperature_VeryHigh,Temperature_VeryLow,Temperature_VeryVeryLow,Month,Year
OH,2016-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,2016
OH,2016-02,2.0,487.0,214.0,67.0,88.0,173.0,14.0,11.0,170.0,160.0,154.0,176.0,60.0,534.0,3.0,48.0,7.0,377.0,335.0,0.0,484.0,10.0,2.0,274.0,0.0,02,2016
OH,2016-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03,2016
OH,2016-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04,2016
OH,2016-05,1.0,482.0,188.0,120.0,97.0,140.0,14.0,17.0,140.0,201.0,182.0,69.0,0.0,722.0,17.0,81.0,16.0,401.0,276.0,74.0,355.0,353.0,9.0,0.0,0.0,05,2016
OH,2016-06,2.0,522.0,223.0,146.0,115.0,166.0,29.0,24.0,207.0,166.0,186.0,33.0,2.0,858.0,121.0,98.0,15.0,328.0,331.0,235.0,44.0,602.0,12.0,0.0,0.0,06,2016
OH,2016-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07,2016
OH,2016-08,1.0,747.0,300.0,135.0,202.0,252.0,22.0,34.0,193.0,252.0,228.0,147.0,0.0,1036.0,152.0,168.0,41.0,345.0,477.0,524.0,15.0,644.0,0.0,0.0,0.0,08,2016
OH,2016-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09,2016
OH,2016-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2016
