,State,year_month,counts
0,AL,2016-06,18
1,AL,2016-07,21
2,AL,2016-08,21
3,AL,2016-09,15
4,AL,2016-10,23
5,AL,2016-11,13
6,AL,2016-12,24
7,AL,2017-01,31
8,AL,2017-02,13
9,AL,2017-03,25
10,AL,2017-04,26
11,AL,2017-05,72
12,AL,2017-06,69
13,AL,2017-07,138
14,AL,2017-08,665
15,AL,2017-09,522
16,AL,2017-10,385
17,AL,2017-11,334
18,AL,2017-12,624
19,AL,2018-01,761
20,AL,2018-02,728
21,AL,2018-03,1104
22,AL,2018-04,1048
23,AL,2018-05,1112
24,AL,2018-06,956
25,AL,2018-07,769
26,AL,2018-08,1166
27,AL,2018-09,1351
28,AL,2018-10,1729
29,AL,2018-11,1719
30,AL,2018-12,1652
31,AL,2019-01,1593
32,AL,2019-02,1529
33,AL,2019-03,1806
34,AL,2019-04,1754
35,AL,2019-05,1628
36,AL,2019-06,1588
37,AL,2019-07,1502
38,AL,2019-08,1362
39,AL,2019-09,1456
40,AL,2019-10,1955
41,AL,2019-11,1578
42,AL,2019-12,1488
43,AL,2020-01,1646
44,AL,2020-02,1418
45,AL,2020-03,1292
46,AL,2020-04,961
47,AL,2020-05,1341
48,AL,2020-06,1592
49,AL,2020-07,1089
50,AL,2020-08,1110
51,AL,2020-09,1700
52,AL,2020-10,2484
53,AL,2020-11,3031
54,AL,2020-12,2980
55,AR,2016-06,6
56,AR,2016-07,3
57,AR,2016-08,2
58,AR,2016-09,3
59,AR,2016-10,6
60,AR,2016-11,3
61,AR,2016-12,3
62,AR,2017-01,9
63,AR,2017-02,17
64,AR,2017-03,15
65,AR,2017-04,16
66,AR,2017-05,4
67,AR,2017-07,2
68,AR,2017-08,16
69,AR,2017-09,15
70,AR,2017-10,16
71,AR,2017-11,9
72,AR,2017-12,15
73,AR,2018-01,23
74,AR,2018-02,57
75,AR,2018-03,31
76,AR,2018-04,52
77,AR,2018-05,47
78,AR,2018-06,29
79,AR,2018-07,18
80,AR,2018-08,35
81,AR,2018-09,67
82,AR,2018-10,64
83,AR,2018-11,95
84,AR,2018-12,80
85,AR,2019-01,85
86,AR,2019-02,112
87,AR,2019-03,65
88,AR,2019-04,107
89,AR,2019-05,113
90,AR,2019-06,104
91,AR,2019-07,81
92,AR,2019-08,50
93,AR,2019-09,65
94,AR,2019-10,96
95,AR,2019-11,53
96,AR,2019-12,60
97,AR,2020-01,50
98,AR,2020-02,24
99,AR,2020-03,49
100,AR,2020-04,35
101,AR,2020-05,33
102,AR,2020-06,72
103,AR,2020-07,13
104,AR,2020-08,33
105,AR,2020-09,385
106,AR,2020-10,725
107,AR,2020-11,943
108,AR,2020-12,994
109,AZ,2016-06,123
110,AZ,2016-07,416
111,AZ,2016-08,451
112,AZ,2016-09,377
113,AZ,2016-10,491
114,AZ,2016-11,483
115,AZ,2016-12,429
116,AZ,2017-01,305
117,AZ,2017-02,294
118,AZ,2017-03,399
119,AZ,2017-04,266
120,AZ,2017-05,438
121,AZ,2017-06,316
122,AZ,2017-07,518
123,AZ,2017-08,2087
124,AZ,2017-09,2297
125,AZ,2017-10,1790
126,AZ,2017-11,1872
127,AZ,2017-12,1745
128,AZ,2018-01,2167
129,AZ,2018-02,1720
130,AZ,2018-03,1633
131,AZ,2018-04,1706
132,AZ,2018-05,1938
133,AZ,2018-06,1629
134,AZ,2018-07,1639
135,AZ,2018-08,2397
136,AZ,2018-09,1786
137,AZ,2018-10,1924
138,AZ,2018-11,2253
139,AZ,2018-12,1906
140,AZ,2019-01,2074
141,AZ,2019-02,1712
142,AZ,2019-03,1825
143,AZ,2019-04,1881
144,AZ,2019-05,1961
145,AZ,2019-06,1849
146,AZ,2019-07,2215
147,AZ,2019-08,2599
148,AZ,2019-09,2373
149,AZ,2019-10,2321
150,AZ,2019-11,1975
151,AZ,2019-12,1744
152,AZ,2020-01,1717
153,AZ,2020-02,1739
154,AZ,2020-03,2522
155,AZ,2020-04,3337
156,AZ,2020-05,3372
157,AZ,2020-06,3574
158,AZ,2020-07,1055
159,AZ,2020-08,777
160,AZ,2020-09,1743
161,AZ,2020-10,2894
162,AZ,2020-11,4026
163,AZ,2020-12,4023
164,CA,2016-03,4279
165,CA,2016-04,14221
166,CA,2016-05,13988
167,CA,2016-06,14649
168,CA,2016-07,12664
169,CA,2016-08,16228
170,CA,2016-09,15954
171,CA,2016-10,15877
172,CA,2016-11,17666
173,CA,2016-12,14925
174,CA,2017-01,14567
175,CA,2017-02,14406
176,CA,2017-03,14680
177,CA,2017-04,14572
178,CA,2017-05,11398
179,CA,2017-06,12600
180,CA,2017-07,11003
181,CA,2017-08,12313
182,CA,2017-09,12467
183,CA,2017-10,11745
184,CA,2017-11,12057
185,CA,2017-12,10855
186,CA,2018-01,12362
187,CA,2018-02,11489
188,CA,2018-03,14826
189,CA,2018-04,13768
190,CA,2018-05,13594
191,CA,2018-06,12653
192,CA,2018-07,14052
193,CA,2018-08,15338
194,CA,2018-09,14146
195,CA,2018-10,14487
196,CA,2018-11,12475
