State,year_month,Severity_1,Severity_2,Severity_3,Severity_4,Month,Year,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday
OH,2016-01,0.0,0.0,0.0,0.0,01,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2016-02,2.0,487.0,214.0,67.0,02,2016,173.0,160.0,154.0,170.0,88.0,14.0,11.0
OH,2016-03,0.0,0.0,0.0,0.0,03,2016,126.0,200.0,156.0,255.0,148.0,23.0,12.0
OH,2016-04,0.0,0.0,0.0,0.0,04,2016,167.0,164.0,171.0,202.0,204.0,54.0,32.0
OH,2016-05,1.0,482.0,188.0,120.0,05,2016,140.0,201.0,182.0,140.0,97.0,14.0,17.0
OH,2016-06,2.0,522.0,223.0,146.0,06,2016,166.0,166.0,186.0,207.0,115.0,29.0,24.0
OH,2016-07,0.0,0.0,0.0,0.0,07,2016,182.0,193.0,145.0,195.0,182.0,31.0,23.0
OH,2016-08,1.0,747.0,300.0,135.0,08,2016,252.0,252.0,228.0,193.0,202.0,22.0,34.0
OH,2016-09,0.0,0.0,0.0,0.0,09,2016,143.0,211.0,246.0,247.0,300.0,29.0,27.0
OH,2016-10,0.0,0.0,0.0,0.0,10,2016,213.0,193.0,164.0,190.0,168.0,36.0,29.0
OH,2016-11,0.0,0.0,0.0,0.0,11,2016,208.0,360.0,298.0,213.0,164.0,33.0,14.0
OH,2016-12,0.0,0.0,0.0,0.0,12,2016,161.0,322.0,230.0,277.0,272.0,54.0,26.0
OH,2017-01,0.0,0.0,0.0,0.0,01,2017,254.0,364.0,254.0,304.0,306.0,22.0,21.0
OH,2017-02,1.0,797.0,275.0,113.0,02,2017,204.0,229.0,237.0,249.0,230.0,24.0,13.0
OH,2017-03,2.0,680.0,275.0,148.0,03,2017,155.0,195.0,227.0,202.0,265.0,40.0,21.0
OH,2017-04,0.0,0.0,0.0,0.0,04,2017,117.0,161.0,160.0,140.0,158.0,31.0,32.0
OH,2017-05,0.0,0.0,0.0,0.0,05,2017,171.0,169.0,140.0,139.0,156.0,18.0,27.0
OH,2017-06,0.0,0.0,0.0,0.0,06,2017,111.0,150.0,174.0,171.0,264.0,24.0,24.0
OH,2017-07,0.0,0.0,0.0,0.0,07,2017,128.0,101.0,116.0,152.0,149.0,37.0,29.0
OH,2017-08,0.0,0.0,0.0,0.0,08,2017,210.0,310.0,233.0,268.0,214.0,32.0,29.0
OH,2017-09,0.0,0.0,0.0,0.0,09,2017,186.0,266.0,294.0,286.0,349.0,53.0,36.0
OH,2017-10,0.0,0.0,0.0,0.0,10,2017,331.0,281.0,283.0,310.0,233.0,34.0,39.0
OH,2017-11,0.0,0.0,0.0,0.0,11,2017,191.0,190.0,220.0,188.0,119.0,24.0,23.0
OH,2017-12,0.0,0.0,0.0,0.0,12,2017,176.0,264.0,266.0,249.0,340.0,41.0,19.0
OH,2018-01,0.0,0.0,0.0,0.0,01,2018,293.0,286.0,367.0,236.0,248.0,32.0,27.0
OH,2018-02,1.0,608.0,538.0,116.0,02,2018,195.0,253.0,280.0,225.0,259.0,29.0,22.0
OH,2018-03,0.0,0.0,0.0,0.0,03,2018,163.0,233.0,229.0,257.0,284.0,32.0,24.0
OH,2018-04,0.0,0.0,0.0,0.0,04,2018,212.0,247.0,223.0,220.0,172.0,25.0,41.0
OH,2018-05,1.0,619.0,428.0,139.0,05,2018,175.0,224.0,236.0,284.0,205.0,39.0,24.0
OH,2018-06,1.0,759.0,370.0,187.0,06,2018,199.0,210.0,206.0,278.0,317.0,55.0,52.0
OH,2018-07,1.0,690.0,376.0,108.0,07,2018,251.0,263.0,151.0,210.0,201.0,51.0,48.0
OH,2018-08,0.0,0.0,0.0,0.0,08,2018,131.0,212.0,251.0,225.0,222.0,7.0,13.0
OH,2018-09,0.0,0.0,0.0,0.0,09,2018,310.0,340.0,278.0,290.0,297.0,63.0,40.0
OH,2018-10,2.0,1579.0,622.0,256.0,10,2018,542.0,509.0,557.0,334.0,413.0,44.0,60.0
OH,2018-11,0.0,0.0,0.0,0.0,11,2018,419.0,454.0,356.0,297.0,489.0,78.0,70.0
OH,2018-12,0.0,0.0,0.0,0.0,12,2018,322.0,237.0,303.0,262.0,287.0,88.0,54.0
OH,2019-01,1.0,993.0,411.0,133.0,01,2019,284.0,302.0,289.0,316.0,219.0,72.0,56.0
OH,2019-02,0.0,0.0,0.0,0.0,02,2019,162.0,192.0,194.0,154.0,228.0,17.0,36.0
OH,2019-03,0.0,0.0,0.0,0.0,03,2019,190.0,193.0,171.0,153.0,181.0,28.0,31.0
OH,2019-04,0.0,0.0,0.0,0.0,04,2019,239.0,217.0,176.0,167.0,216.0,21.0,25.0
OH,2019-05,0.0,0.0,0.0,0.0,05,2019,147.0,182.0,197.0,222.0,158.0,24.0,12.0
OH,2019-06,0.0,0.0,0.0,0.0,06,2019,156.0,165.0,118.0,129.0,147.0,31.0,25.0
OH,2019-07,0.0,0.0,0.0,0.0,07,2019,214.0,224.0,218.0,132.0,130.0,12.0,11.0
OH,2019-08,0.0,0.0,0.0,0.0,08,2019,179.0,245.0,200.0,214.0,187.0,13.0,8.0
OH,2019-09,0.0,0.0,0.0,0.0,09,2019,222.0,221.0,210.0,171.0,180.0,17.0,14.0
OH,2019-10,0.0,0.0,0.0,0.0,10,2019,220.0,279.0,304.0,303.0,213.0,35.0,12.0
OH,2019-11,0.0,0.0,0.0,0.0,11,2019,204.0,341.0,246.0,207.0,265.0,18.0,24.0
OH,2019-12,0.0,0.0,0.0,0.0,12,2019,343.0,262.0,222.0,197.0,216.0,19.0,38.0
WV,2016-01,0.0,0.0,0.0,0.0,01,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV,2016-02,0.0,0.0,0.0,0.0,02,2016,3.0,9.0,4.0,8.0,4.0,0.0,4.0
WV,2016-03,0.0,0.0,0.0,0.0,03,2016,3.0,10.0,6.0,5.0,2.0,2.0,6.0
WV,2016-04,0.0,0.0,0.0,0.0,04,2016,7.0,1.0,3.0,9.0,7.0,0.0,5.0
WV,2016-05,0.0,0.0,0.0,0.0,05,2016,1.0,3.0,2.0,4.0,1.0,1.0,1.0
WV,2016-06,0.0,0.0,0.0,0.0,06,2016,0.0,9.0,4.0,24.0,1.0,1.0,2.0
WV,2016-07,0.0,0.0,0.0,0.0,07,2016,18.0,23.0,12.0,17.0,8.0,2.0,1.0
WV,2016-08,0.0,0.0,0.0,0.0,08,2016,6.0,7.0,4.0,8.0,7.0,2.0,2.0
WV,2016-09,0.0,0.0,0.0,0.0,09,2016,0.0,6.0,1.0,13.0,6.0,1.0,1.0
WV,2016-10,0.0,0.0,0.0,0.0,10,2016,5.0,4.0,7.0,4.0,7.0,2.0,3.0
WV,2016-11,0.0,0.0,0.0,0.0,11,2016,10.0,19.0,13.0,7.0,5.0,0.0,7.0
WV,2016-12,0.0,0.0,0.0,0.0,12,2016,0.0,4.0,7.0,16.0,7.0,1.0,4.0
WV,2017-01,0.0,0.0,0.0,0.0,01,2017,13.0,4.0,3.0,19.0,13.0,0.0,1.0
WV,2017-02,0.0,0.0,0.0,0.0,02,2017,6.0,14.0,8.0,14.0,14.0,3.0,3.0
WV,2017-03,0.0,0.0,0.0,0.0,03,2017,8.0,13.0,11.0,9.0,29.0,0.0,2.0
WV,2017-04,0.0,0.0,0.0,0.0,04,2017,10.0,8.0,8.0,5.0,18.0,2.0,0.0
WV,2017-05,0.0,0.0,0.0,0.0,05,2017,11.0,12.0,3.0,5.0,4.0,1.0,2.0
WV,2017-06,0.0,0.0,0.0,0.0,06,2017,17.0,15.0,10.0,16.0,21.0,3.0,3.0
WV,2017-07,0.0,0.0,0.0,0.0,07,2017,18.0,8.0,17.0,15.0,14.0,10.0,12.0
WV,2017-08,0.0,0.0,0.0,0.0,08,2017,17.0,7.0,7.0,2.0,9.0,6.0,0.0
WV,2017-09,1.0,19.0,19.0,13.0,09,2017,11.0,10.0,3.0,3.0,9.0,6.0,10.0
WV,2017-10,0.0,0.0,0.0,0.0,10,2017,3.0,5.0,7.0,4.0,5.0,5.0,23.0
WV,2017-11,0.0,0.0,0.0,0.0,11,2017,4.0,13.0,11.0,8.0,2.0,5.0,9.0
WV,2017-12,0.0,0.0,0.0,0.0,12,2017,7.0,3.0,5.0,4.0,10.0,7.0,5.0
WV,2018-01,0.0,0.0,0.0,0.0,01,2018,4.0,24.0,3.0,7.0,3.0,3.0,1.0
WV,2018-02,0.0,0.0,0.0,0.0,02,2018,2.0,3.0,10.0,9.0,8.0,3.0,5.0
WV,2018-03,0.0,0.0,0.0,0.0,03,2018,3.0,1.0,5.0,13.0,11.0,4.0,3.0
WV,2018-04,0.0,0.0,0.0,0.0,04,2018,16.0,14.0,5.0,10.0,11.0,3.0,3.0
WV,2018-05,0.0,0.0,0.0,0.0,05,2018,9.0,9.0,11.0,17.0,9.0,2.0,3.0
WV,2018-06,0.0,0.0,0.0,0.0,06,2018,6.0,2.0,6.0,4.0,4.0,9.0,6.0
WV,2018-07,0.0,0.0,0.0,0.0,07,2018,6.0,5.0,4.0,4.0,5.0,6.0,16.0
WV,2018-08,0.0,0.0,0.0,0.0,08,2018,3.0,2.0,1.0,3.0,5.0,0.0,0.0
WV,2018-09,0.0,0.0,0.0,0.0,09,2018,7.0,11.0,12.0,8.0,4.0,6.0,10.0
WV,2018-10,0.0,0.0,0.0,0.0,10,2018,10.0,15.0,22.0,6.0,21.0,6.0,10.0
WV,2018-11,0.0,0.0,0.0,0.0,11,2018,18.0,9.0,12.0,23.0,35.0,5.0,3.0
WV,2018-12,0.0,0.0,0.0,0.0,12,2018,11.0,10.0,10.0,14.0,23.0,5.0,2.0
WV,2019-01,0.0,0.0,0.0,0.0,01,2019,2.0,8.0,9.0,17.0,8.0,6.0,1.0
WV,2019-02,0.0,0.0,0.0,0.0,02,2019,7.0,15.0,10.0,9.0,25.0,1.0,5.0
WV,2019-03,0.0,0.0,0.0,0.0,03,2019,0.0,5.0,4.0,0.0,11.0,5.0,2.0
WV,2019-04,0.0,0.0,0.0,0.0,04,2019,7.0,7.0,5.0,6.0,17.0,5.0,3.0
WV,2019-05,0.0,0.0,0.0,0.0,05,2019,3.0,1.0,8.0,13.0,12.0,5.0,9.0
WV,2019-06,0.0,0.0,0.0,0.0,06,2019,3.0,6.0,4.0,10.0,6.0,5.0,4.0
WV,2019-07,0.0,0.0,0.0,0.0,07,2019,13.0,1.0,10.0,11.0,8.0,6.0,9.0
WV,2019-08,0.0,0.0,0.0,0.0,08,2019,2.0,5.0,8.0,8.0,4.0,0.0,1.0
WV,2019-09,0.0,0.0,0.0,0.0,09,2019,2.0,12.0,7.0,8.0,2.0,1.0,1.0
WV,2019-10,0.0,0.0,0.0,0.0,10,2019,6.0,5.0,8.0,9.0,5.0,6.0,4.0
WV,2019-11,0.0,0.0,0.0,0.0,11,2019,2.0,0.0,1.0,5.0,3.0,0.0,0.0
WV,2019-12,0.0,0.0,0.0,0.0,12,2019,1.0,3.0,3.0,3.0,1.0,0.0,0.0
CA,2016-01,0.0,0.0,0.0,0.0,01,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2016-02,0.0,0.0,0.0,0.0,02,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2016-03,2.0,2590.0,1625.0,62.0,03,2016,474.0,575.0,1220.0,1117.0,442.0,213.0,238.0
CA,2016-04,5.0,8993.0,5098.0,125.0,04,2016,2472.0,2537.0,2482.0,2646.0,2603.0,660.0,821.0
CA,2016-05,6.0,9172.0,4680.0,130.0,05,2016,2503.0,3050.0,2721.0,2662.0,1722.0,660.0,670.0
CA,2016-06,8.0,8591.0,5931.0,119.0,06,2016,2294.0,2261.0,2546.0,3042.0,2523.0,1036.0,947.0
CA,2016-07,5.0,7513.0,5054.0,92.0,07,2016,1792.0,2180.0,2069.0,2232.0,2728.0,907.0,756.0
CA,2016-08,11.0,9931.0,6154.0,132.0,08,2016,3120.0,3120.0,2901.0,2442.0,2538.0,1092.0,1015.0
CA,2016-09,7.0,9952.0,5877.0,118.0,09,2016,2206.0,2728.0,2642.0,3418.0,3160.0,957.0,843.0
CA,2016-10,29.0,10100.0,5630.0,118.0,10,2016,3364.0,2825.0,2702.0,2439.0,2222.0,1120.0,1205.0
CA,2016-11,20.0,10915.0,6564.0,167.0,11,2016,3032.0,3600.0,3669.0,2690.0,2527.0,1064.0,1084.0
CA,2016-12,6.0,9206.0,5565.0,148.0,12,2016,1952.0,2004.0,2178.0,3347.0,3430.0,1151.0,863.0
CA,2017-01,10.0,9214.0,5228.0,115.0,01,2017,2231.0,2905.0,2127.0,2728.0,2587.0,1013.0,976.0
CA,2017-02,11.0,9205.0,5091.0,99.0,02,2017,2354.0,2272.0,2384.0,2641.0,2634.0,1138.0,983.0
CA,2017-03,19.0,9110.0,5390.0,161.0,03,2017,1977.0,2136.0,2669.0,2690.0,3050.0,1139.0,1019.0
CA,2017-04,4.0,9088.0,5362.0,118.0,04,2017,2364.0,2045.0,2328.0,2399.0,2700.0,1554.0,1182.0
CA,2017-05,6.0,7355.0,3897.0,140.0,05,2017,2137.0,1934.0,2141.0,1714.0,1791.0,817.0,864.0
CA,2017-06,10.0,7529.0,4898.0,163.0,06,2017,1916.0,1935.0,1832.0,2321.0,2350.0,1133.0,1113.0
CA,2017-07,6.0,6555.0,4316.0,126.0,07,2017,1712.0,1652.0,1908.0,1762.0,1863.0,1120.0,986.0
CA,2017-08,8.0,7496.0,4666.0,143.0,08,2017,1841.0,2303.0,2258.0,2272.0,1957.0,839.0,843.0
CA,2017-09,3.0,7517.0,4797.0,150.0,09,2017,1829.0,2114.0,1941.0,2048.0,2674.0,1056.0,805.0
CA,2017-10,5.0,6659.0,4964.0,117.0,10,2017,2158.0,2180.0,1806.0,1757.0,1812.0,946.0,1086.0
