State,year_month,DayOfWeek_Friday,DayOfWeek_Monday,DayOfWeek_Saturday,DayOfWeek_Sunday,DayOfWeek_Thursday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,TimeOfDay_Day,TimeOfDay_Night,TimeOfDay_Noon,Severity_1.0,Severity_2.0,Severity_3.0,Severity_4.0,AccidentDuration_High,AccidentDuration_Low,AccidentDuration_Moderate,AccidentDuration_Very High,AccidentDuration_Very Low,Pressure_High,Pressure_Low,Pressure_Moderate,Temperature_High,Temperature_Low,Temperature_Moderate,Temperature_VeryHigh,Temperature_VeryLow,Temperature_VeryVeryLow,Humidity_High,Humidity_Low,Humidity_Moderate,WindSpeed_Calm,WindSpeed_FreshBreeze,WindSpeed_GentleBreeze,WindSpeed_ModerateBreeze,WindSpeed_StrongBreeze,Month,Year
OH,2016-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,2016
OH,2016-02,88.0,173.0,14.0,11.0,170.0,160.0,154.0,447.0,135.0,188.0,2.0,487.0,214.0,67.0,3.0,48.0,7.0,377.0,335.0,175.0,60.0,535.0,0.0,486.0,10.0,0.0,274.0,0.0,715.0,1.0,54.0,276.0,48.0,313.0,115.0,18.0,02,2016
OH,2016-03,148.0,126.0,23.0,12.0,255.0,200.0,156.0,475.0,170.0,275.0,0.0,607.0,217.0,96.0,3.0,48.0,21.0,501.0,347.0,131.0,10.0,779.0,0.0,681.0,188.0,0.0,51.0,0.0,716.0,29.0,175.0,293.0,64.0,372.0,177.0,14.0,03,2016
OH,2016-04,204.0,167.0,54.0,32.0,202.0,164.0,171.0,596.0,152.0,246.0,0.0,638.0,236.0,120.0,2.0,84.0,24.0,508.0,376.0,278.0,20.0,696.0,17.0,706.0,214.0,0.0,57.0,0.0,748.0,50.0,196.0,299.0,50.0,456.0,183.0,6.0,04,2016
OH,2016-05,97.0,140.0,14.0,17.0,140.0,201.0,182.0,355.0,149.0,287.0,1.0,482.0,188.0,120.0,17.0,81.0,16.0,401.0,276.0,60.0,0.0,731.0,74.0,358.0,359.0,0.0,0.0,0.0,636.0,1.0,154.0,381.0,0.0,355.0,54.0,1.0,05,2016
OH,2016-06,115.0,166.0,29.0,24.0,207.0,166.0,186.0,372.0,185.0,336.0,2.0,522.0,223.0,146.0,121.0,98.0,15.0,328.0,331.0,25.0,2.0,866.0,235.0,47.0,611.0,0.0,0.0,0.0,602.0,22.0,269.0,349.0,26.0,391.0,126.0,1.0,06,2016
OH,2016-07,182.0,182.0,31.0,23.0,195.0,193.0,145.0,419.0,172.0,360.0,0.0,578.0,265.0,108.0,145.0,168.0,49.0,308.0,281.0,51.0,2.0,898.0,434.0,4.0,513.0,0.0,0.0,0.0,837.0,2.0,112.0,488.0,2.0,403.0,57.0,1.0,07,2016
OH,2016-08,202.0,252.0,22.0,34.0,193.0,252.0,228.0,499.0,203.0,481.0,1.0,747.0,300.0,135.0,152.0,168.0,41.0,345.0,477.0,141.0,0.0,1042.0,524.0,15.0,644.0,0.0,0.0,0.0,1027.0,1.0,155.0,763.0,8.0,351.0,61.0,0.0,08,2016
OH,2016-09,300.0,143.0,29.0,27.0,247.0,211.0,246.0,586.0,212.0,405.0,0.0,770.0,344.0,89.0,127.0,118.0,45.0,321.0,592.0,107.0,0.0,1096.0,250.0,243.0,710.0,0.0,0.0,0.0,994.0,1.0,208.0,693.0,14.0,410.0,86.0,0.0,09,2016
OH,2016-10,168.0,213.0,36.0,29.0,190.0,193.0,164.0,457.0,183.0,353.0,0.0,625.0,287.0,81.0,130.0,90.0,51.0,247.0,475.0,348.0,1.0,644.0,45.0,519.0,429.0,0.0,0.0,0.0,847.0,0.0,146.0,459.0,29.0,385.0,117.0,3.0,10,2016
OH,2016-11,164.0,208.0,33.0,14.0,213.0,360.0,298.0,571.0,239.0,480.0,0.0,838.0,312.0,140.0,27.0,205.0,16.0,336.0,706.0,456.0,4.0,830.0,4.0,983.0,269.0,0.0,34.0,0.0,1107.0,3.0,180.0,567.0,20.0,553.0,150.0,0.0,11,2016
OH,2016-12,272.0,161.0,54.0,26.0,277.0,322.0,230.0,580.0,277.0,485.0,0.0,864.0,347.0,131.0,2.0,339.0,35.0,427.0,539.0,569.0,0.0,773.0,0.0,776.0,8.0,0.0,557.0,1.0,1292.0,0.0,50.0,458.0,47.0,593.0,235.0,9.0,12,2016
OH,2017-01,306.0,254.0,22.0,21.0,304.0,364.0,254.0,773.0,220.0,532.0,0.0,1003.0,397.0,125.0,2.0,261.0,31.0,445.0,786.0,236.0,20.0,1269.0,0.0,1045.0,47.0,0.0,430.0,3.0,1515.0,0.0,10.0,422.0,104.0,680.0,298.0,21.0,01,2017
OH,2017-02,230.0,204.0,24.0,13.0,249.0,229.0,237.0,533.0,278.0,375.0,1.0,797.0,275.0,113.0,0.0,117.0,35.0,381.0,653.0,299.0,14.0,873.0,0.0,756.0,154.0,0.0,276.0,0.0,974.0,1.0,211.0,330.0,70.0,525.0,255.0,6.0,02,2017
OH,2017-03,265.0,155.0,40.0,21.0,202.0,195.0,227.0,625.0,178.0,302.0,2.0,680.0,275.0,148.0,1.0,175.0,14.0,480.0,435.0,455.0,5.0,645.0,0.0,762.0,76.0,0.0,267.0,0.0,879.0,30.0,196.0,276.0,95.0,422.0,279.0,33.0,03,2017
OH,2017-04,158.0,117.0,31.0,32.0,140.0,161.0,160.0,402.0,146.0,251.0,0.0,475.0,200.0,124.0,2.0,134.0,4.0,346.0,313.0,128.0,54.0,617.0,12.0,440.0,347.0,0.0,0.0,0.0,637.0,18.0,144.0,217.0,70.0,343.0,160.0,9.0,04,2017
OH,2017-05,156.0,171.0,18.0,27.0,139.0,169.0,140.0,416.0,127.0,277.0,0.0,491.0,224.0,105.0,2.0,201.0,9.0,361.0,247.0,4.0,79.0,737.0,52.0,442.0,326.0,0.0,0.0,0.0,689.0,7.0,124.0,267.0,55.0,323.0,151.0,24.0,05,2017
OH,2017-06,264.0,111.0,24.0,24.0,171.0,150.0,174.0,426.0,152.0,340.0,0.0,514.0,255.0,149.0,1.0,195.0,7.0,363.0,352.0,0.0,0.0,918.0,160.0,107.0,651.0,0.0,0.0,0.0,694.0,28.0,196.0,378.0,17.0,418.0,105.0,0.0,06,2017
